Title,Album,PredictedAlbum
Daylight,Lover,3.0
the 1,folklore,1.0
cardigan,folklore,3.0
the last great american dinasty,folklore,1.0
exile,folklore,1.0
my tears ricochet,folklore,1.0
mirrorball,folklore,7.0
seven,folklore,1.0
august,folklore,1.0
this is me trying,folklore,1.0
illicit affairs,folklore,7.0
invisible string,folklore,1.0
mad woman,folklore,6.0
epiphany,folklore,3.0
betty,folklore,1.0
peace,folklore,1.0
hoax,folklore,3.0
willow,evermore,6.0
champagne problems,evermore,3.0
gold rush,evermore,3.0
'tis the damn season,evermore,1.0
tolerate it,evermore,7.0
"no body, no crime",evermore,7.0
happiness,evermore,1.0
dorothea,evermore,3.0
coney island,evermore,1.0
ivy,evermore,3.0
cowboy like me,evermore,3.0
long story short,evermore,1.0
marjorie,evermore,4.0
closure,evermore,7.0
evermore,evermore,1.0
Lavender Haze,Midnights,4.0
Maroon,Midnights,1.0
Anti-Hero,Midnights,1.0
Snow On The Beach,Midnights,10.0
You’re On Your Own Kid,Midnights,7.0
Midnight Rain,Midnights,1.0
Question…?,Midnights,3.0
Vigilante Shit,Midnights,7.0
Bejeweled,Midnights,3.0
Labyrinth,Midnights,3.0
Karma,Midnights,3.0
Sweet Nothing,Midnights,1.0
Mastermind,Midnights,3.0
