Title,Album,PredictedAlbum
'tis the damn season,evermore,4.0
tolerate it,evermore,2.0
"no body, no crime",evermore,4.0
happiness,evermore,4.0
dorothea,evermore,2.0
coney island,evermore,2.0
ivy,evermore,3.0
cowboy like me,evermore,8.0
long story short,evermore,3.0
marjorie,evermore,4.0
closure,evermore,10.0
evermore,evermore,2.0
right where you left me,evermore,4.0
it’s time to go,evermore,2.0
Lavender Haze,Midnights,10.0
Maroon,Midnights,4.0
Anti-Hero,Midnights,4.0
Snow On The Beach,Midnights,2.0
You’re On Your Own Kid,Midnights,4.0
Midnight Rain,Midnights,4.0
Question…?,Midnights,10.0
Vigilante Shit,Midnights,10.0
Bejeweled,Midnights,10.0
Labyrinth,Midnights,2.0
Karma,Midnights,10.0
Sweet Nothing,Midnights,4.0
Mastermind,Midnights,4.0
The Great War,Midnights,8.0
Bigger Than The Whole Sky,Midnights,3.0
Paris,Midnights,2.0
High Infidelity,Midnights,2.0
Glitch,Midnights,10.0
"Would’ve, Could’ve, Should’ve",Midnights,8.0
Dear Reader,Midnights,2.0
Hits Different,Midnights,4.0
