Title,Album,PredictedAlbum
The Man,Lover,9.0
The Archer,Lover,9.0
I Think He Knows,Lover,4.0
Miss Americana & The Heartbreak Prince,Lover,2.0
Paper Rings,Lover,9.0
Cornelia Street,Lover,9.0
Death By a Thousand Cuts,Lover,9.0
London Boy,Lover,3.0
Soon You’ll Get Better,Lover,7.0
False God,Lover,3.0
You Need To Calm Down,Lover,4.0
Afterglow,Lover,2.0
ME!,Lover,5.0
It’s Nice To Have A Friend,Lover,9.0
Daylight,Lover,9.0
the 1,folklore,4.0
cardigan,folklore,9.0
the last great american dinasty,folklore,9.0
exile,folklore,4.0
my tears ricochet,folklore,9.0
mirrorball,folklore,6.0
seven,folklore,3.0
august,folklore,9.0
this is me trying,folklore,4.0
illicit affairs,folklore,9.0
invisible string,folklore,9.0
mad woman,folklore,3.0
epiphany,folklore,9.0
betty,folklore,4.0
peace,folklore,9.0
hoax,folklore,9.0
willow,evermore,9.0
champagne problems,evermore,9.0
gold rush,evermore,9.0
'tis the damn season,evermore,9.0
tolerate it,evermore,9.0
"no body, no crime",evermore,9.0
happiness,evermore,9.0
dorothea,evermore,2.0
coney island,evermore,9.0
ivy,evermore,9.0
cowboy like me,evermore,5.0
long story short,evermore,9.0
marjorie,evermore,9.0
closure,evermore,9.0
evermore,evermore,9.0
Lavender Haze,Midnights,3.0
Maroon,Midnights,9.0
Anti-Hero,Midnights,9.0
Snow On The Beach,Midnights,10.0
You’re On Your Own Kid,Midnights,9.0
Midnight Rain,Midnights,9.0
Question…?,Midnights,4.0
Vigilante Shit,Midnights,3.0
Bejeweled,Midnights,6.0
Labyrinth,Midnights,4.0
Karma,Midnights,10.0
Sweet Nothing,Midnights,4.0
Mastermind,Midnights,4.0
