Title,Album,PredictedAlbum
Foolish One (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),10.0
Timeless (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),10.0
State Of Grace (Taylor’s Version),Red (Taylor’s Version),10.0
Red (Taylor’s Version),Red (Taylor’s Version),4.0
Treacherous (Taylor’s Version),Red (Taylor’s Version),3.0
I Knew You Were Trouble (Taylor’s Version),Red (Taylor’s Version),4.0
All Too Well (Taylor’s Version),Red (Taylor’s Version),4.0
22 (Taylor’s Version),Red (Taylor’s Version),4.0
I Almost Do (Taylor’s Version),Red (Taylor’s Version),4.0
We Are Never Ever Getting Back Together (Taylor’s Version),Red (Taylor’s Version),3.0
Stay Stay Stay (Taylor’s Version),Red (Taylor’s Version),4.0
The Last Time (Taylor’s Version),Red (Taylor’s Version),8.0
Holy Ground (Taylor’s Version),Red (Taylor’s Version),10.0
Sad Beautiful Tragic (Taylor’s Version),Red (Taylor’s Version),2.0
The Lucky One (Taylor’s Version),Red (Taylor’s Version),4.0
Everything Has Changed (Taylor’s Version),Red (Taylor’s Version),4.0
Starlight (Taylor’s Version),Red (Taylor’s Version),4.0
Begin Again (Taylor’s Version),Red (Taylor’s Version),8.0
The Moment I Knew (Taylor’s Version),Red (Taylor’s Version),7.0
Come Back...Be Here (Taylor’s Version),Red (Taylor’s Version),2.0
Girl At Home (Taylor’s Version),Red (Taylor’s Version),4.0
Ronan (Taylor’s Version),Red (Taylor’s Version),4.0
Better Man (Taylor’s Version) (From The Vault),Red (Taylor’s Version),4.0
Nothing New (Taylor’s Version) (From The Vault),Red (Taylor’s Version),2.0
Babe (Taylor’s Version) (From The Vault),Red (Taylor’s Version),8.0
Message In A Bottle (Taylor’s Version) (From The Vault),Red (Taylor’s Version),4.0
I Bet You Think About Me (Taylor’s Version) (From The Vault),Red (Taylor’s Version),4.0
Forever Winter (Taylor’s Version) (From The Vault),Red (Taylor’s Version),3.0
Run (Taylor’s Version) (From The Vault),Red (Taylor’s Version),4.0
The Very First Night (Taylor’s Version) (From The Vault),Red (Taylor’s Version),3.0
All Too Well (10 Minute Version) (Taylor’s Version) (From The Vault),Red (Taylor’s Version),4.0
Welcome To New York,1989 (Deluxe),5.0
Blank Space,1989 (Deluxe),3.0
Style,1989 (Deluxe),3.0
Out Of The Woods,1989 (Deluxe),5.0
All You Had To Do Was Stay,1989 (Deluxe),4.0
Shake It Off,1989 (Deluxe),5.0
I wish You Would,1989 (Deluxe),10.0
Bad Blood,1989 (Deluxe),2.0
Wildest Dreams,1989 (Deluxe),7.0
How You Get The Girl,1989 (Deluxe),4.0
This Love,1989 (Deluxe),3.0
I Know Places,1989 (Deluxe),4.0
Clean,1989 (Deluxe),8.0
Wonderland,1989 (Deluxe),8.0
You are in Love,1989 (Deluxe),2.0
New Romantics,1989 (Deluxe),4.0
...Ready For It?,reputation,4.0
End Game,reputation,4.0
I Did Something Bad,reputation,2.0
Don’t Blame Me,reputation,4.0
Delicate,reputation,4.0
Look What You Made Me Do,reputation,4.0
So It Goes…,reputation,3.0
Gorgeous,reputation,2.0
Getaway Car,reputation,4.0
King Of My Heart,reputation,4.0
Dancing With Our Hands Tied,reputation,6.0
Dress,reputation,6.0
This Is Why We Can’t Have Nice Things,reputation,7.0
Call It What You Want,reputation,4.0
New Year’s Day,reputation,3.0
I Forgot That You Existed,Lover,10.0
Cruel Summer,Lover,4.0
Lover,Lover,3.0
The Man,Lover,4.0
The Archer,Lover,3.0
I Think He Knows,Lover,4.0
Miss Americana & The Heartbreak Prince,Lover,3.0
Paper Rings,Lover,7.0
Cornelia Street,Lover,8.0
Death By a Thousand Cuts,Lover,7.0
London Boy,Lover,4.0
Soon You’ll Get Better,Lover,6.0
False God,Lover,4.0
You Need To Calm Down,Lover,4.0
Afterglow,Lover,4.0
ME!,Lover,4.0
It’s Nice To Have A Friend,Lover,7.0
Daylight,Lover,4.0
the 1,folklore,10.0
cardigan,folklore,3.0
the last great american dinasty,folklore,8.0
exile,folklore,8.0
my tears ricochet,folklore,3.0
mirrorball,folklore,4.0
seven,folklore,3.0
august,folklore,4.0
this is me trying,folklore,7.0
illicit affairs,folklore,8.0
invisible string,folklore,8.0
mad woman,folklore,8.0
epiphany,folklore,2.0
betty,folklore,8.0
peace,folklore,10.0
hoax,folklore,10.0
the lakes,folklore,4.0
willow,evermore,6.0
champagne problems,evermore,8.0
gold rush,evermore,4.0
'tis the damn season,evermore,4.0
tolerate it,evermore,4.0
"no body, no crime",evermore,4.0
happiness,evermore,4.0
dorothea,evermore,4.0
coney island,evermore,3.0
ivy,evermore,10.0
cowboy like me,evermore,10.0
long story short,evermore,3.0
marjorie,evermore,4.0
closure,evermore,4.0
evermore,evermore,4.0
right where you left me,evermore,4.0
it’s time to go,evermore,4.0
Lavender Haze,Midnights,4.0
Maroon,Midnights,4.0
Anti-Hero,Midnights,8.0
Snow On The Beach,Midnights,10.0
You’re On Your Own Kid,Midnights,8.0
Midnight Rain,Midnights,10.0
Question…?,Midnights,10.0
Vigilante Shit,Midnights,8.0
Bejeweled,Midnights,4.0
Labyrinth,Midnights,3.0
Karma,Midnights,3.0
Sweet Nothing,Midnights,8.0
Mastermind,Midnights,4.0
The Great War,Midnights,7.0
Bigger Than The Whole Sky,Midnights,10.0
Paris,Midnights,4.0
High Infidelity,Midnights,10.0
Glitch,Midnights,8.0
"Would’ve, Could’ve, Should’ve",Midnights,10.0
Dear Reader,Midnights,3.0
Hits Different,Midnights,8.0
