Title,Album,PredictedAlbum
Shake It Off,1989 (Deluxe),5.0
I wish You Would,1989 (Deluxe),2.0
Bad Blood,1989 (Deluxe),7.0
Wildest Dreams,1989 (Deluxe),7.0
How You Get The Girl,1989 (Deluxe),8.0
This Love,1989 (Deluxe),9.0
I Know Places,1989 (Deluxe),8.0
Clean,1989 (Deluxe),9.0
...Ready For It?,reputation,8.0
End Game,reputation,7.0
I Did Something Bad,reputation,1.0
Don’t Blame Me,reputation,7.0
Delicate,reputation,2.0
Look What You Made Me Do,reputation,8.0
So It Goes…,reputation,8.0
Gorgeous,reputation,1.0
Getaway Car,reputation,9.0
King Of My Heart,reputation,7.0
Dancing With Our Hands Tied,reputation,9.0
Dress,reputation,8.0
This Is Why We Can’t Have Nice Things,reputation,7.0
Call It What You Want,reputation,7.0
New Year’s Day,reputation,8.0
I Forgot That You Existed,Lover,7.0
Cruel Summer,Lover,9.0
Lover,Lover,8.0
The Man,Lover,8.0
The Archer,Lover,8.0
I Think He Knows,Lover,1.0
Miss Americana & The Heartbreak Prince,Lover,7.0
Paper Rings,Lover,7.0
Cornelia Street,Lover,9.0
Death By a Thousand Cuts,Lover,8.0
London Boy,Lover,7.0
Soon You’ll Get Better,Lover,2.0
False God,Lover,7.0
You Need To Calm Down,Lover,2.0
Afterglow,Lover,2.0
ME!,Lover,7.0
It’s Nice To Have A Friend,Lover,9.0
Daylight,Lover,9.0
the 1,folklore,2.0
cardigan,folklore,7.0
the last great american dinasty,folklore,9.0
exile,folklore,8.0
my tears ricochet,folklore,9.0
mirrorball,folklore,4.0
seven,folklore,7.0
august,folklore,8.0
this is me trying,folklore,1.0
illicit affairs,folklore,8.0
invisible string,folklore,9.0
mad woman,folklore,7.0
epiphany,folklore,8.0
betty,folklore,8.0
peace,folklore,8.0
hoax,folklore,9.0
willow,evermore,8.0
champagne problems,evermore,9.0
gold rush,evermore,9.0
'tis the damn season,evermore,8.0
tolerate it,evermore,7.0
"no body, no crime",evermore,8.0
happiness,evermore,9.0
dorothea,evermore,7.0
coney island,evermore,9.0
ivy,evermore,9.0
cowboy like me,evermore,7.0
long story short,evermore,9.0
marjorie,evermore,8.0
closure,evermore,2.0
evermore,evermore,9.0
Lavender Haze,Midnights,7.0
Maroon,Midnights,9.0
Anti-Hero,Midnights,8.0
Snow On The Beach,Midnights,4.0
You’re On Your Own Kid,Midnights,9.0
Midnight Rain,Midnights,9.0
Question…?,Midnights,8.0
Vigilante Shit,Midnights,7.0
Bejeweled,Midnights,7.0
Labyrinth,Midnights,1.0
Karma,Midnights,1.0
Sweet Nothing,Midnights,2.0
Mastermind,Midnights,8.0
