Title,Album,PredictedAlbum
Long Live (Taylor’s Version),Speak Now (Taylor’s Version),8.0
Ours (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Superman (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Electric Touch (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),3.0
When Emma Falls in Love  (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),7.0
I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),2.0
Castles Crumbling (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),8.0
Foolish One (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),2.0
Timeless (Taylor’s Version) (From The Vault),Speak Now (Taylor’s Version),8.0
State Of Grace (Taylor’s Version),Red (Taylor’s Version),8.0
Red (Taylor’s Version),Red (Taylor’s Version),8.0
Treacherous (Taylor’s Version),Red (Taylor’s Version),4.0
I Knew You Were Trouble (Taylor’s Version),Red (Taylor’s Version),4.0
All Too Well (Taylor’s Version),Red (Taylor’s Version),8.0
22 (Taylor’s Version),Red (Taylor’s Version),2.0
I Almost Do (Taylor’s Version),Red (Taylor’s Version),1.0
We Are Never Ever Getting Back Together (Taylor’s Version),Red (Taylor’s Version),1.0
Stay Stay Stay (Taylor’s Version),Red (Taylor’s Version),4.0
The Last Time (Taylor’s Version),Red (Taylor’s Version),4.0
Holy Ground (Taylor’s Version),Red (Taylor’s Version),4.0
Sad Beautiful Tragic (Taylor’s Version),Red (Taylor’s Version),4.0
The Lucky One (Taylor’s Version),Red (Taylor’s Version),3.0
Everything Has Changed (Taylor’s Version),Red (Taylor’s Version),2.0
Starlight (Taylor’s Version),Red (Taylor’s Version),4.0
Begin Again (Taylor’s Version),Red (Taylor’s Version),4.0
The Moment I Knew (Taylor’s Version),Red (Taylor’s Version),8.0
Come Back...Be Here (Taylor’s Version),Red (Taylor’s Version),4.0
Girl At Home (Taylor’s Version),Red (Taylor’s Version),2.0
Ronan (Taylor’s Version),Red (Taylor’s Version),3.0
Better Man (Taylor’s Version) (From The Vault),Red (Taylor’s Version),2.0
Nothing New (Taylor’s Version) (From The Vault),Red (Taylor’s Version),2.0
Babe (Taylor’s Version) (From The Vault),Red (Taylor’s Version),4.0
Message In A Bottle (Taylor’s Version) (From The Vault),Red (Taylor’s Version),4.0
I Bet You Think About Me (Taylor’s Version) (From The Vault),Red (Taylor’s Version),2.0
Forever Winter (Taylor’s Version) (From The Vault),Red (Taylor’s Version),3.0
Run (Taylor’s Version) (From The Vault),Red (Taylor’s Version),4.0
The Very First Night (Taylor’s Version) (From The Vault),Red (Taylor’s Version),4.0
All Too Well (10 Minute Version) (Taylor’s Version) (From The Vault),Red (Taylor’s Version),8.0
Welcome To New York,1989 (Deluxe),5.0
Blank Space,1989 (Deluxe),7.0
Style,1989 (Deluxe),4.0
Out Of The Woods,1989 (Deluxe),5.0
All You Had To Do Was Stay,1989 (Deluxe),4.0
Shake It Off,1989 (Deluxe),5.0
I wish You Would,1989 (Deluxe),1.0
Bad Blood,1989 (Deluxe),7.0
Wildest Dreams,1989 (Deluxe),8.0
How You Get The Girl,1989 (Deluxe),1.0
This Love,1989 (Deluxe),5.0
I Know Places,1989 (Deluxe),3.0
Clean,1989 (Deluxe),8.0
Wonderland,1989 (Deluxe),8.0
You are in Love,1989 (Deluxe),3.0
New Romantics,1989 (Deluxe),8.0
...Ready For It?,reputation,3.0
End Game,reputation,7.0
I Did Something Bad,reputation,2.0
Don’t Blame Me,reputation,7.0
Delicate,reputation,8.0
Look What You Made Me Do,reputation,4.0
So It Goes…,reputation,3.0
Gorgeous,reputation,7.0
Getaway Car,reputation,3.0
King Of My Heart,reputation,4.0
Dancing With Our Hands Tied,reputation,8.0
Dress,reputation,8.0
This Is Why We Can’t Have Nice Things,reputation,3.0
Call It What You Want,reputation,4.0
New Year’s Day,reputation,8.0
I Forgot That You Existed,Lover,8.0
Cruel Summer,Lover,8.0
Lover,Lover,3.0
The Man,Lover,7.0
The Archer,Lover,3.0
I Think He Knows,Lover,2.0
Miss Americana & The Heartbreak Prince,Lover,7.0
Paper Rings,Lover,4.0
Cornelia Street,Lover,3.0
Death By a Thousand Cuts,Lover,8.0
London Boy,Lover,7.0
Soon You’ll Get Better,Lover,2.0
False God,Lover,7.0
You Need To Calm Down,Lover,2.0
Afterglow,Lover,2.0
ME!,Lover,7.0
It’s Nice To Have A Friend,Lover,3.0
Daylight,Lover,3.0
the 1,folklore,1.0
cardigan,folklore,8.0
the last great american dinasty,folklore,8.0
exile,folklore,8.0
my tears ricochet,folklore,8.0
mirrorball,folklore,8.0
seven,folklore,8.0
august,folklore,8.0
this is me trying,folklore,2.0
illicit affairs,folklore,4.0
invisible string,folklore,8.0
mad woman,folklore,7.0
epiphany,folklore,3.0
betty,folklore,3.0
peace,folklore,8.0
hoax,folklore,8.0
the lakes,folklore,8.0
willow,evermore,3.0
champagne problems,evermore,8.0
gold rush,evermore,8.0
'tis the damn season,evermore,3.0
tolerate it,evermore,3.0
"no body, no crime",evermore,2.0
happiness,evermore,8.0
dorothea,evermore,2.0
coney island,evermore,8.0
ivy,evermore,8.0
cowboy like me,evermore,7.0
long story short,evermore,8.0
marjorie,evermore,9.0
closure,evermore,2.0
evermore,evermore,8.0
right where you left me,evermore,8.0
it’s time to go,evermore,3.0
Lavender Haze,Midnights,7.0
Maroon,Midnights,8.0
Anti-Hero,Midnights,8.0
Snow On The Beach,Midnights,10.0
You’re On Your Own Kid,Midnights,3.0
Midnight Rain,Midnights,8.0
Question…?,Midnights,3.0
Vigilante Shit,Midnights,7.0
Bejeweled,Midnights,3.0
Labyrinth,Midnights,5.0
Karma,Midnights,7.0
Sweet Nothing,Midnights,8.0
Mastermind,Midnights,8.0
The Great War,Midnights,8.0
Bigger Than The Whole Sky,Midnights,1.0
Paris,Midnights,8.0
High Infidelity,Midnights,8.0
Glitch,Midnights,8.0
"Would’ve, Could’ve, Should’ve",Midnights,8.0
Dear Reader,Midnights,3.0
Hits Different,Midnights,8.0
