Title,Album,PredictedAlbum
'tis the damn season,evermore,10.0
tolerate it,evermore,7.0
"no body, no crime",evermore,7.0
happiness,evermore,5.0
dorothea,evermore,4.0
coney island,evermore,3.0
ivy,evermore,7.0
cowboy like me,evermore,7.0
long story short,evermore,7.0
marjorie,evermore,3.0
closure,evermore,7.0
evermore,evermore,3.0
Lavender Haze,Midnights,7.0
Maroon,Midnights,10.0
Anti-Hero,Midnights,3.0
Snow On The Beach,Midnights,7.0
You’re On Your Own Kid,Midnights,7.0
Midnight Rain,Midnights,3.0
Question…?,Midnights,7.0
Vigilante Shit,Midnights,10.0
Bejeweled,Midnights,10.0
Labyrinth,Midnights,3.0
Karma,Midnights,7.0
Sweet Nothing,Midnights,4.0
Mastermind,Midnights,7.0
