Title,Album,PredictedAlbum
Bejeweled,Midnights,6.0
Labyrinth,Midnights,4.0
Karma,Midnights,4.0
Sweet Nothing,Midnights,4.0
Mastermind,Midnights,9.0
The Great War,Midnights,4.0
Bigger Than The Whole Sky,Midnights,4.0
Paris,Midnights,9.0
High Infidelity,Midnights,9.0
Glitch,Midnights,9.0
"Would’ve, Could’ve, Should’ve",Midnights,9.0
Dear Reader,Midnights,9.0
Hits Different,Midnights,4.0
